,categ,duration,views,like_ratio,channel_appeal,title,y
0,2,2,0,1,0,Artificial Intelligence and Machine Learning.,0
1,2,0,0,1,0,"I defeated Artificial Intelligence||COD YALGAAR,TRIGGER||COD#1||D's Gamings",0
2,2,0,0,1,0,Artificial Intelligence,0
3,3,0,0,1,0,Introduction to Neural Networks with Example in HINDI | Artificial Intelligence,0
4,3,0,1,1,0,"The 3 Top Artificial Intelligence Stocks Paying Safe, Growing Dividends",1
5,3,2,0,1,0,TRANSFORMATION OF NEWSROOMS WITH THE ADVENT OF ARTIFICIAL INTELLIGENCE JOURNALISM,0
6,4,0,0,1,0,🤦🏽‍♂️ARTIFICIAL INTELLIGENCE [2021],0
7,3,1,0,1,0,Augmented reality search in Artificial Intelligence (AI) Part -1,0
8,6,1,0,1,0,AI for the Mind: Improving Mental Health with Artificial Intelligence,1
9,4,0,0,1,0,Artificial Intelligence Implementation - AI All Around us,0
10,2,0,0,1,0,Artificial Intelligence - Santosh Inc.,0
11,3,0,0,1,0,FEEDBACK ON LECTURE ABOUT ROLE OF ARTIFICIAL INTELLIGENCE AND DITALIZATION IN COVID-19 PANDEMIC,0
12,4,0,0,1,1,Introduction to Artificial Intelligence Ethics and Safety - Part1,1
13,3,0,0,1,0,Greedy Best First Search-Artificial Intelligence-Unit – 1 -Problem Solving -Informed Searching,0
14,2,0,0,1,0,Promobot at Artificial Intelligence Week Middle East | Promobot,0
15,4,0,0,1,0,Talking Gargoyles at Denver International Airport | Artificial Intelligence | #TheBingeTime,0
16,3,0,0,1,0,Artificial Intelligence: Computers and Human,0
17,3,0,0,1,0,Bidirectional Search-Artificial Intelligence-Unit-1-Problem Solving-Uninformed Searching,0
18,3,0,0,1,2,Artificial Intelligence Interview Questions And Answers | 3RI Technologies,1
19,2,0,0,1,0,Artificial intelligence,0
20,3,0,0,1,0,Constraint Satisfaction Problem in AI | Artificial Intelligence | Lec-16,0
21,3,0,0,1,0,Artificial Intelligence Octabomb,0
22,0,0,0,1,0,MagnusRx - Artificial Intelligence Bomb (MagnusRx Remix),0
23,3,0,0,1,0,Artificial intelligence,0
24,4,1,0,1,0,"FRUCT29 Keynote: Mobile Artificial Intelligence for Driver Monitoring: Methods, Evaluation, and ...",1
25,3,2,0,1,1,MBA in Artificial Intelligence in Digital Marketing (AIDM) - Term 1.7 - Full Online Course,0
26,3,0,0,1,1,Mag Robot Speaks About the Future of Video Making with Artificial Intelligence,0
27,3,0,0,1,0,Learn Artificial Intelligence (Machine Learning) through our Online Training Institute,0
28,3,0,0,1,0,114. Idea - Tackling Machine Learning and Artificial Intelligence Head On,0
29,2,0,0,1,0,Meet Mr.AI #ArtificialIntelligence food server #Robot,0
30,4,1,1,1,0,What is Artificial Intelligence? | AI | Simple explanation in Malayalam with examples | T4T,0
31,2,0,0,1,0,"EPISODE 59: Brittany Spears as Missy Elliot  with Artificial Intelligence, AKA AI Deepfake",0
32,4,0,0,1,0,AI का बड़ता खतरा - Artificial Intelligence - AI - #SHORTS - #YOUTUBESHORT - VJ FACTTUBE,0
33,2,0,0,1,0,A.I why is it so important ??????!!!!! (Artificial intelligence the future or is it )???,0
34,4,0,0,1,0,What Is Artificial Intelligence?,0
35,1,1,2,1,0,MATRIX AI is coming to open a NEW ERA OF ARTIFICIAL INTELLIGENCE! MAN coin crypto,1
36,0,0,0,1,0,Artificial Intelligence,0
37,3,2,2,1,0,AI And Machine Learning Full Course | Artificial Intelligence & Machine Learning Course |Simplilearn,1
38,2,0,1,0,0,AI Robot | Artificial intelligence | Human Robot,0
